n,r,p
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:HAS_COMPLETED],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:IN_PROGRESS],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:IS_A],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:HAS],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:OCCUPIES],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:WORKS_IN],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:BELONGS_TO],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})",[:IN_PROGRESS],"(:Employee {work_email: sebastian.krag@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770009,last_name: Krag,id: 22,first_name: Sebastian})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:IS_A],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:HAS],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:OCCUPIES],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:WORKS_IN],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:BELONGS_TO],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})",[:IN_PROGRESS],"(:Employee {work_email: nanna.poulsen@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770010,last_name: Poulsen,id: 23,first_name: Nanna})"
"(:EmployeePrivateData {private_email: postman@ok.dk,cpr: 9988554433,id: 1047516619,private_phone: 9966443311})",null,"(:EmployeePrivateData {private_email: postman@ok.dk,cpr: 9988554433,id: 1047516619,private_phone: 9966443311})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$j2yIAy8QUuy9VCg/n0dybg$qhinWUGkNVmolvh8Vv+G/QqFEsN2b6We4GJ12NPhPJU,id: 1047516619,requires_reset: true,username: postman.te020})",null,"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$j2yIAy8QUuy9VCg/n0dybg$qhinWUGkNVmolvh8Vv+G/QqFEsN2b6We4GJ12NPhPJU,id: 1047516619,requires_reset: true,username: postman.te020})"
"(:CompletionInterval {id: 3,time_to_complete: 1 day})",[:FINNISHED_IN],"(:CompletionInterval {id: 3,time_to_complete: 1 day})"
"(:CompletionInterval {id: 4,time_to_complete: More than one day})",[:FINNISHED_IN],"(:CompletionInterval {id: 4,time_to_complete: More than one day})"
"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})",[:WORKS_IN],"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})"
"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})",[:WORKS_IN],"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})"
"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})",[:WORKS_IN],"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})"
"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})",[:WORKS_IN],"(:Department {name: HR,description: Manages all aspects of employee life cycle, including recruitment, benefits, training, and workplace culture.,id: 1})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})",[:WORKS_IN],"(:Department {name: Marketing,description: Drives business growth through brand development, advertising, and market engagement strategies.,id: 2})"
"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})",[:WORKS_IN],"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})"
"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})",[:WORKS_IN],"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})"
"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})",[:WORKS_IN],"(:Department {name: Finance,description: Oversees financial planning, accounting, investments, and funding to ensure sustainable business operations.,id: 3})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})",[:WORKS_IN],"(:Department {name: IT,description: Provides software solutions and support to enable efficient business operations and innovation.,id: 4})"
"(:Department {name: Legal,description: Safeguards company interests through legal counsel, contract management, and compliance oversight.,id: 5})",[:WORKS_IN],"(:Department {name: Legal,description: Safeguards company interests through legal counsel, contract management, and compliance oversight.,id: 5})"
"(:Department {name: Customer Service,description: Delivers exceptional customer experiences through timely support, issue resolution, and relationship building.,id: 6})",[:WORKS_IN],"(:Department {name: Customer Service,description: Delivers exceptional customer experiences through timely support, issue resolution, and relationship building.,id: 6})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:BELONGS_TO],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})",[:NEEDS],"(:DiscProfile {color: #008000,name: Dominance,description: Results-oriented, strong-willed,id: 1})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:BELONGS_TO],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})",[:NEEDS],"(:DiscProfile {color: #FF0000,name: Influence,description: Enthusiastic, optimistic,id: 2})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:BELONGS_TO],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:BELONGS_TO],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:BELONGS_TO],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:BELONGS_TO],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:BELONGS_TO],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})",[:NEEDS],"(:DiscProfile {color: #0000FF,name: Steadiness,description: Patient, empathetic,id: 3})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:BELONGS_TO],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})",[:NEEDS],"(:DiscProfile {color: #FFFF00,name: Conscientiousness,description: Analytical, detail-oriented,id: 4})"
"(:EmployeePrivateData {private_email: postman@ok.dk,cpr: 1704867890,id: 1,private_phone: 9966443311})",[:HAS],"(:EmployeePrivateData {private_email: postman@ok.dk,cpr: 1704867890,id: 1,private_phone: 9966443311})"
"(:EmployeePrivateData {private_email: alice@mail.com,cpr: 1234567890,id: 2,private_phone: 12328678})",[:HAS],"(:EmployeePrivateData {private_email: alice@mail.com,cpr: 1234567890,id: 2,private_phone: 12328678})"
"(:EmployeePrivateData {private_email: mikkel@mail.com,cpr: 2345678901,id: 3,private_phone: 23454989})",[:HAS],"(:EmployeePrivateData {private_email: mikkel@mail.com,cpr: 2345678901,id: 3,private_phone: 23454989})"
"(:EmployeePrivateData {private_email: sofie@mail.com,cpr: 3456789012,id: 4,private_phone: 83742934})",[:HAS],"(:EmployeePrivateData {private_email: sofie@mail.com,cpr: 3456789012,id: 4,private_phone: 83742934})"
"(:EmployeePrivateData {private_email: jonas@mail.com,cpr: 4567890123,id: 5,private_phone: 45678901})",[:HAS],"(:EmployeePrivateData {private_email: jonas@mail.com,cpr: 4567890123,id: 5,private_phone: 45678901})"
"(:EmployeePrivateData {private_email: emma@mail.com,cpr: 5678901234,id: 6,private_phone: 56789012})",[:HAS],"(:EmployeePrivateData {private_email: emma@mail.com,cpr: 5678901234,id: 6,private_phone: 56789012})"
"(:EmployeePrivateData {private_email: noaah@mail.com,cpr: 6789012345,id: 7,private_phone: 67890123})",[:HAS],"(:EmployeePrivateData {private_email: noaah@mail.com,cpr: 6789012345,id: 7,private_phone: 67890123})"
"(:EmployeePrivateData {private_email: freja@mail.com,cpr: 7890123456,id: 8,private_phone: 78901234})",[:HAS],"(:EmployeePrivateData {private_email: freja@mail.com,cpr: 7890123456,id: 8,private_phone: 78901234})"
"(:EmployeePrivateData {private_email: lucas@mail.com,cpr: 8901234567,id: 9,private_phone: 89012345})",[:HAS],"(:EmployeePrivateData {private_email: lucas@mail.com,cpr: 8901234567,id: 9,private_phone: 89012345})"
"(:EmployeePrivateData {private_email: ida@mail.com,cpr: 9012345678,id: 10,private_phone: 90123456})",[:HAS],"(:EmployeePrivateData {private_email: ida@mail.com,cpr: 9012345678,id: 10,private_phone: 90123456})"
